name,scholar_id,dewey_id,original_names,affiliation,email_domain,interests,citedby,url_picture
Yola Damayanti Gani,,1543,,,,,,
Yonatan Limpo,,1544,,,,,,
Yonathan Palumian,fh32y3AAAAAJ,1545,,Petra Christian University,@petra.ac.id,Management;Business Analytics;Management Information System,127,https://scholar.google.com/citations?view_op=medium_photo&user=fh32y3AAAAAJ
Yonathan Santoso,,1546,,,,,,
Yopi Yusuf Tanoto,7Onha88AAAAJ,1547,,"Lecturer of Mechanical Engineering, Petra Christian University",@petra.ac.id,Composite material;product design;rapid prototyping;manufacturing and remanufacturing,200,https://scholar.google.com/citations?view_op=medium_photo&user=7Onha88AAAAJ
Yosep Suseno,,1548,,,,,,
Yoseph Martin Sufianto,,1549,,,,,,
Yosia Mulyonugroho,,1550,,,,,,
Yosua Bagus Kristanto,,1551,,,,,,
Yudas Tadeus Teddy Susanto,,1552,,,,,,
Yudianto Oentario,,1553,,,,,,
Yudith Angelainy,,1554,,,,,,
Yukun Lin,,1555,,,,,,
Yuli Christiana Yoedo,1W5gsOoAAAAJ,1556,,Petra Christian University,@peter.petra.ac.id,Teaching English to Young Learners,39,https://scholar.google.com/citations?view_op=medium_photo&user=1W5gsOoAAAAJ
Yuli Nugraheni,,1557,,,,,,
Yulia,,1558,,,,,,
Yulia Kendengis,HmDcu0MAAAAJ,1559,,Petra Christian University,@petra.ac.id,Information System;Enterprise Resource Planning,179,https://scholar.google.com/citations?view_op=medium_photo&user=HmDcu0MAAAAJ
Yulia Setia,oXh3VKYAAAAJ,1560,,"Early Childhood Educators, Petra Christian University",@petra.ac.id,Early childhood education;Christian education;creative learning;classroom management;theology,17,https://scholar.google.com/citations?view_op=medium_photo&user=oXh3VKYAAAAJ
Yuliana,,1561,,,,,,
Yulistiani Tanumihardjo,,1562,,,,,,
Yulius Jogi Christiawan,Gc4hXy4AAAAJ,1563,,Petra Christian University,@petra.ac.id,Financial accounting;Auditing,2815,https://scholar.google.com/citations?view_op=medium_photo&user=Gc4hXy4AAAAJ
Yulius Untung,,1564,,,,,,
Yulyta Kodrat,,1565,,,,,,
Yun-Chia Liang,,1566,,,,,,
Yuri Njotowidjojo,,1567,,,,,,
Yusak Tanoto,5PLZ95AAAAAJ,1568,,Associate Professor at Petra Christian University,@petra.ac.id,Renewable Energy;Energy Planning;Energy Management;Sustainable Energy,274,https://scholar.google.com/citations?view_op=medium_photo&user=5PLZ95AAAAAJ
Yusita Kusumarini,WKnqwksAAAAJ,1569,,Petra Christian University,@petra.ac.id,Interior Design;Sustainable Design;Universal Design;Design Method,399,https://scholar.google.com/citations?view_op=medium_photo&user=WKnqwksAAAAJ
Yustisia Ditya Sari,,1570,,,,,,
Yustrida Bernawati,,1571,,,,,,
Yusuf Adi Waskito,,1572,,,,,,
Yusuf Daud Endro Wicaksono,,1573,,,,,,
