name,scholar_id,affiliation,email_domain,interests,citedby,url_picture
"Nova Sepadyati,ST.,M.Sc",g6QF95YAAAAJ,"Lecturer of Industrial Engineering, Petra Christian University",@petra.ac.id,Operations;Projects;and Supply Chain Management,29,https://scholar.google.com/citations?view_op=medium_photo&user=g6QF95YAAAAJ
Theophilus J. Riyanto,A4sme4cAAAAJ,"English Lecturer, Petra Christian University, Surabaya, Indonesia",@petra.ac.id,Literature and Culture,27,https://scholar.google.com/citations?view_op=medium_photo&user=A4sme4cAAAAJ
Lianto,26mVBdUAAAAJ,"Petra Christian University, Universitas Kristen Petra",@petra.ac.id,Management;Finance,20,https://scholar.google.com/citations?view_op=medium_photo&user=26mVBdUAAAAJ
Elvina S. Wijaya,qn3mA30AAAAJ,Petra Christian University,@petra.ac.id,Building Performance,19,https://scholar.google.com/citations?view_op=medium_photo&user=qn3mA30AAAAJ
Daniel Widjojo,jvLruE4AAAAJ,Petra Christian University,@john.petra.ac.id,Computer Science;Artificial Intelligence;Machine Learning;Deep Learning,18,https://scholar.google.com/citations?view_op=medium_photo&user=jvLruE4AAAAJ
David Kristianto,cj33DRMAAAAJ,Petra Christian University,@petra.ac.id,Sosial Manajemen,18,https://scholar.google.com/citations?view_op=medium_photo&user=cj33DRMAAAAJ
YULIA SETIA,oXh3VKYAAAAJ,"Early Childhood Educators, Petra Christian University",@petra.ac.id,Early childhood education;Christian education;creative learning;classroom management;theology,17,https://scholar.google.com/citations?view_op=medium_photo&user=oXh3VKYAAAAJ
OLIVIA (蕭翡斐 ),bRoBjsMAAAAJ,Petra Christian University,@petra.ac.id,Chinese Language,16,https://scholar.google.com/citations?view_op=medium_photo&user=bRoBjsMAAAAJ
Heri Saptono Warpindyasmoro,11ge99UAAAAJ,Petra Christian University,@petra.ac.id,Fisika;Energi Terbarukan;Optoelectronik,16,https://scholar.google.com/citations?view_op=medium_photo&user=11ge99UAAAAJ
Hariyanto Hariyanto,SQXL_z4AAAAJ,Petra Christian University,@petra.ac.id,Teaching Approach;Personal Development;Critical Thinking,14,https://scholar.google.com/citations?view_op=medium_photo&user=SQXL_z4AAAAJ
"Alan Darmasaputra, SE, MPAcc., MBus.",6Z2HXQEAAAAJ,Petra Christian University,@petra.ac.id,Accounting,11,https://scholar.google.com/citations?view_op=medium_photo&user=6Z2HXQEAAAAJ
ALETHEIA THRESKEIA,sj-VORoAAAAJ,Petra Christian University,@petra.ac.id,,10,https://scholar.google.com/citations?view_op=medium_photo&user=sj-VORoAAAAJ
Linda Bustan,dO3973AAAAAJ,Petra Christian University,@petra.ac.id,Sociology of religion;Christianity;Chinese Christian,9,https://scholar.google.com/citations?view_op=medium_photo&user=dO3973AAAAAJ
Lisa Narwastu,KFD1HY4AAAAJ,Petra Christian University,@petra.ac.id,parenting;counseling;early childhood education,9,https://scholar.google.com/citations?view_op=medium_photo&user=KFD1HY4AAAAJ
Aristarchus Pranayama Kuntjara,c0JbdsEAAAAJ,Petra Christian University,@petra.ac.id,art;visual communication design;creative digital media,8,https://scholar.google.com/citations?view_op=medium_photo&user=c0JbdsEAAAAJ
Sally Azaria,2r3LhRQAAAAJ,Lecturer at Petra Christian University,@petra.ac.id,identity;parenting;chinese-indonesian;multicultural;change management,8,https://scholar.google.com/citations?view_op=medium_photo&user=2r3LhRQAAAAJ
Vivian Graciela Chertian,3bis8a0AAAAJ,"English Department, Petra Christian University",@petra.ac.id,English language;discourse;media;representation;Chinese Indonesian studies,8,https://scholar.google.com/citations?view_op=medium_photo&user=3bis8a0AAAAJ
Willy Husada,qwMqHqMAAAAJ,"Lecturer of Civil Engineering, Petra Christian University",@petra.ac.id,Artificial Intelligence;Data Mining;Construction Management;Civil Engineering;Reliability,7,https://scholar.google.com/citations?view_op=medium_photo&user=qwMqHqMAAAAJ
Vellycia Njoko,BnA627AAAAAJ,"Assistant Lecturer, Petra Christian University",@petra.ac.id,Communication Science;Mass Media,7,https://scholar.google.com/citations?view_op=medium_photo&user=BnA627AAAAAJ
Peter Jonathan,F6UTO7cAAAAJ,Petra Christian University,@petra.ac.id,Machine Design;Robotics;Polymer Processing;Turbomachinery;Computational Fluid Dynamics,6,https://scholar.google.com/citations?view_op=medium_photo&user=F6UTO7cAAAAJ
Stefanny Irawan,o9l0nB8AAAAJ,Petra Christian University,@petra.ac.id,Theatre and performance;Drama;Arts management;Creative writing,6,https://scholar.google.com/citations?view_op=medium_photo&user=o9l0nB8AAAAJ
Marthy Meliana Ariyanti Jalmav,gU47Qv0AAAAJ,Petra Christian University,@petra.ac.id,Pharmacoeconomy;Teknologi Farmasi,5,https://scholar.google.com/citations?view_op=medium_photo&user=gU47Qv0AAAAJ
